,frequentation,sur_place,livraison,semaine,jour,year,month,date,date_meteo,time,to_char,summary,icon,precipintensity,precipprobability,temperature,apparenttemperature,dewpoint,humidity,pressure,windspeed,windgust,windbearing,cloudcover,uvindex,visibility,ozone,heure
0,21.0,À emporter,,1,2,2017,1,2,2017-01-02 00:00:00,1483354800,2017-02-01 12:00:00,Brumeux,fog,0.0,0.0,0.35,0.35,-1.01,0.91,1025.22,0.67,1.34,274.0,1.0,1.0,3.189,,12
1,94.0,Sur place,,1,2,2017,1,2,2017-01-02 00:00:00,1483354800,2017-02-01 12:00:00,Brumeux,fog,0.0,0.0,0.35,0.35,-1.01,0.91,1025.22,0.67,1.34,274.0,1.0,1.0,3.189,,12
2,4.0,À emporter,,1,3,2017,1,2,2017-01-02 00:00:00,1483369200,2017-02-01 16:00:00,Ciel Couvert,cloudy,0.0,0.0,0.87,0.87,-0.86,0.88,1025.0,1.18,1.79,327.0,1.0,0.0,10.003,,16
3,0.0,Sur place,,1,3,2017,1,2,2017-01-02 00:00:00,1483369200,2017-02-01 16:00:00,Ciel Couvert,cloudy,0.0,0.0,0.87,0.87,-0.86,0.88,1025.0,1.18,1.79,327.0,1.0,0.0,10.003,,16
4,17.0,À emporter,,1,4,2017,1,2,2017-01-02 00:00:00,1483383600,2017-02-01 20:00:00,Ciel Couvert,cloudy,0.0,0.0,1.13,-0.77,-0.3,0.9,1026.19,1.71,1.71,346.0,1.0,0.0,5.002,,20
5,22.0,Sur place,,1,4,2017,1,2,2017-01-02 00:00:00,1483383600,2017-02-01 20:00:00,Ciel Couvert,cloudy,0.0,0.0,1.13,-0.77,-0.3,0.9,1026.19,1.71,1.71,346.0,1.0,0.0,5.002,,20
6,19.0,Livraison,AlloResto,2,1,2017,1,3,2017-01-03 00:00:00,1483434000,2017-03-01 10:00:00,Ciel Couvert,cloudy,0.0,0.0,-0.03,-3.93,-2.51,0.83,1028.43,3.47,4.47,341.0,1.0,0.0,10.003,,10
7,31.0,Livraison,Deliveroo,2,1,2017,1,3,2017-01-03 00:00:00,1483434000,2017-03-01 10:00:00,Ciel Couvert,cloudy,0.0,0.0,-0.03,-3.93,-2.51,0.83,1028.43,3.47,4.47,341.0,1.0,0.0,10.003,,10
8,21.0,Livraison,Foodora,2,1,2017,1,3,2017-01-03 00:00:00,1483434000,2017-03-01 10:00:00,Ciel Couvert,cloudy,0.0,0.0,-0.03,-3.93,-2.51,0.83,1028.43,3.47,4.47,341.0,1.0,0.0,10.003,,10
9,25.0,Livraison,UberEats,2,1,2017,1,3,2017-01-03 00:00:00,1483434000,2017-03-01 10:00:00,Ciel Couvert,cloudy,0.0,0.0,-0.03,-3.93,-2.51,0.83,1028.43,3.47,4.47,341.0,1.0,0.0,10.003,,10
10,0.0,Sur place,,2,1,2017,1,3,2017-01-03 00:00:00,1483434000,2017-03-01 10:00:00,Ciel Couvert,cloudy,0.0,0.0,-0.03,-3.93,-2.51,0.83,1028.43,3.47,4.47,341.0,1.0,0.0,10.003,,10
11,0.0,Sur place,,2,1,2017,1,3,2017-01-03 00:00:00,1483434000,2017-03-01 10:00:00,Ciel Couvert,cloudy,0.0,0.0,-0.03,-3.93,-2.51,0.83,1028.43,3.47,4.47,341.0,1.0,0.0,10.003,,10
12,7.0,À emporter,,2,2,2017,1,3,2017-01-03 00:00:00,1483441200,2017-03-01 12:00:00,Ciel Couvert,cloudy,0.0,0.0,0.4,-3.01,-2.65,0.8,1029.28,3.0,4.02,353.0,1.0,1.0,10.003,,12
13,2.0,Livraison,AlloResto,2,2,2017,1,3,2017-01-03 00:00:00,1483441200,2017-03-01 12:00:00,Ciel Couvert,cloudy,0.0,0.0,0.4,-3.01,-2.65,0.8,1029.28,3.0,4.02,353.0,1.0,1.0,10.003,,12
14,7.0,Livraison,Deliveroo,2,2,2017,1,3,2017-01-03 00:00:00,1483441200,2017-03-01 12:00:00,Ciel Couvert,cloudy,0.0,0.0,0.4,-3.01,-2.65,0.8,1029.28,3.0,4.02,353.0,1.0,1.0,10.003,,12
15,2.0,Livraison,Foodora,2,2,2017,1,3,2017-01-03 00:00:00,1483441200,2017-03-01 12:00:00,Ciel Couvert,cloudy,0.0,0.0,0.4,-3.01,-2.65,0.8,1029.28,3.0,4.02,353.0,1.0,1.0,10.003,,12
16,7.0,Livraison,KM LIVRAISON,2,2,2017,1,3,2017-01-03 00:00:00,1483441200,2017-03-01 12:00:00,Ciel Couvert,cloudy,0.0,0.0,0.4,-3.01,-2.65,0.8,1029.28,3.0,4.02,353.0,1.0,1.0,10.003,,12
17,2.0,Livraison,UberEats,2,2,2017,1,3,2017-01-03 00:00:00,1483441200,2017-03-01 12:00:00,Ciel Couvert,cloudy,0.0,0.0,0.4,-3.01,-2.65,0.8,1029.28,3.0,4.02,353.0,1.0,1.0,10.003,,12
18,41.0,Sur place,,2,2,2017,1,3,2017-01-03 00:00:00,1483441200,2017-03-01 12:00:00,Ciel Couvert,cloudy,0.0,0.0,0.4,-3.01,-2.65,0.8,1029.28,3.0,4.02,353.0,1.0,1.0,10.003,,12
19,3.0,Sur place,,2,3,2017,1,3,2017-01-03 00:00:00,1483455600,2017-03-01 16:00:00,Ciel Couvert,cloudy,0.0,0.0,0.96,-2.02,-2.74,0.76,1029.33,2.64,3.14,8.0,1.0,0.0,10.003,,16
20,3.0,À emporter,,2,4,2017,1,3,2017-01-03 00:00:00,1483470000,2017-03-01 20:00:00,Ciel Couvert,cloudy,0.0,0.0,-0.09,-2.44,-2.7,0.83,1030.41,1.9,1.9,350.0,1.0,0.0,10.003,,20
21,5.0,Livraison,AlloResto,2,4,2017,1,3,2017-01-03 00:00:00,1483470000,2017-03-01 20:00:00,Ciel Couvert,cloudy,0.0,0.0,-0.09,-2.44,-2.7,0.83,1030.41,1.9,1.9,350.0,1.0,0.0,10.003,,20
22,11.0,Livraison,Deliveroo,2,4,2017,1,3,2017-01-03 00:00:00,1483470000,2017-03-01 20:00:00,Ciel Couvert,cloudy,0.0,0.0,-0.09,-2.44,-2.7,0.83,1030.41,1.9,1.9,350.0,1.0,0.0,10.003,,20
23,11.0,Livraison,Foodora,2,4,2017,1,3,2017-01-03 00:00:00,1483470000,2017-03-01 20:00:00,Ciel Couvert,cloudy,0.0,0.0,-0.09,-2.44,-2.7,0.83,1030.41,1.9,1.9,350.0,1.0,0.0,10.003,,20
