,sur_place,livraison,semaine,jour,year,month,date,time,icon,precipintensity,temperature,humidity,pressure,vrai,predict
5170,Livraison,KM,5,4,2018,2,2,1517598000,cloudy,0.0,4.19,0.72,1011.64,0.0,-8.370492063492064
5377,Livraison,AlloResto,3,4,2018,2,14,1518634800,cloudy,0.0,3.31,0.75,1017.25,0.0,0.0
12327,À emporter,KM,2,2,2019,4,2,1554199200,partly-cloudy-day,0.0,18.07,0.3,1012.1,0.0,-0.4055238095238095
2052,Livraison,KM LIVRAISON,3,4,2017,5,24,1495648800,partly-cloudy-day,0.0,24.31,0.45,1019.42,26.0,23.48092857142857
2826,Sur place,,6,2,2017,7,22,1500717600,cloudy,0.0,25.91,0.59,1013.59,59.0,45.877087301587295
3774,À emporter,,7,3,2017,10,29,1509289200,cloudy,0.0,12.79,0.71,1020.82,0.0,1.0060714285714285
5200,Livraison,Foodora,7,4,2018,2,4,1517770800,cloudy,0.0,4.05,0.7,1016.33,0.0,0.0
1660,Livraison,Deliveroo,4,3,2017,4,27,1493301600,partly-cloudy-day,0.0,10.18,0.53,1014.11,1.0,3.546523809523809
9912,,,1,4,2018,10,22,1540231200,clear-night,0.0,14.99,0.38,1026.07,-10.0,-2.4408571428571424
1321,Livraison,UberEats,1,4,2017,4,3,1491242400,partly-cloudy-day,0.0,18.26,0.51,1020.94,27.0,19.482976190476194
9255,Livraison,UberEats,3,2,2018,9,12,1536746400,clear-day,0.0,29.08,0.33,1022.57,0.0,0.0
12918,Sur place,,5,2,2019,5,10,1557482400,partly-cloudy-day,0.0,17.89,0.53,1012.39,0.0,-0.11
8325,Livraison,Foodora,3,2,2018,7,25,1532512800,partly-cloudy-day,0.0,29.78,0.42,1014.65,0.0,0.0
7768,Sur place,,7,4,2018,6,24,1529863200,clear-day,,23.27,0.35,,0.0,0.0
4289,Limonade,,4,2,2017,12,7,1512644400,clear-day,0.0,8.76,0.67,1027.12,0.0,0.0
5527,Livraison,UberEats,4,4,2018,2,22,1519326000,cloudy,0.0,0.84,0.62,1011.78,0.0,0.0
13258,Livraison,KM,6,4,2019,6,1,1559412000,clear-day,0.0,29.18,0.28,1018.45,0.0,0.0
