"frequentation";"ca_ttc";"ca_ht";"date_commande";"midi_soir";"jour_semaine";"sur_place";"type_vente";"livraison";"nb_commandes"
0;0;0;2017-01-01;"";"7 - Dimanche";"";CA;"";0
0;0;0;2017-01-02;"";"1 - Lundi";"";CA;"";0
21;290.00000000;263.63636368;2017-01-02;"2 - Midi";"1 - Lundi";À emporter;CA;;17
94;1291.40000000;1172.04166678;2017-01-02;"2 - Midi";"1 - Lundi";Sur place;CA;;69
4;45.20000000;41.09090908;2017-01-02;"3 - Après-midi";"1 - Lundi";À emporter;CA;;2
0;0.00000000;0.00000000;2017-01-02;"3 - Après-midi";"1 - Lundi";Sur place;CA;;1
17;252.00000000;229.09090907;2017-01-02;"4 - Soir";"1 - Lundi";À emporter;CA;;11
22;285.20000000;258.03636367;2017-01-02;"4 - Soir";"1 - Lundi";Sur place;CA;;19
5;42.50000000;38.63636364;2017-01-02;"4 - Soir";"1 - Lundi";Sur place;Conso Perso;;1
0;0;0;2017-01-03;"";"2 - Mardi";"";CA;"";0
19;216.50000000;196.81818175;2017-01-03;"1 - Matin";"2 - Mardi";Livraison;CA;AlloResto;1
31;368.70000000;335.18181809;2017-01-03;"1 - Matin";"2 - Mardi";Livraison;CA;Deliveroo;1
21;240.50000000;218.63636355;2017-01-03;"1 - Matin";"2 - Mardi";Livraison;CA;Foodora;1
25;287.00000000;260.90909084;2017-01-03;"1 - Matin";"2 - Mardi";Livraison;CA;UberEats;1
0;0.00000000;0.00000000;2017-01-03;"1 - Matin";"2 - Mardi";Sur place;CA;;4
0;0.00000000;0.00000000;2017-01-03;"1 - Matin";"2 - Mardi";Sur place;CA;;8
7;111.00000000;100.90909091;2017-01-03;"2 - Midi";"2 - Mardi";À emporter;CA;;7
2;31.00000000;28.18181818;2017-01-03;"2 - Midi";"2 - Mardi";Livraison;CA;AlloResto;1
7;117.30000000;106.31212120;2017-01-03;"2 - Midi";"2 - Mardi";Livraison;CA;Deliveroo;2
2;33.50000000;30.45454545;2017-01-03;"2 - Midi";"2 - Mardi";Livraison;CA;Foodora;1
7;90.56000000;82.32727272;2017-01-03;"2 - Midi";"2 - Mardi";Livraison;CA;KM LIVRAISON;2
2;29.50000000;26.81818181;2017-01-03;"2 - Midi";"2 - Mardi";Livraison;CA;UberEats;1
41;543.25000000;492.97045460;2017-01-03;"2 - Midi";"2 - Mardi";Sur place;CA;;36
3;41.50000000;37.41818182;2017-01-03;"3 - Après-midi";"2 - Mardi";Sur place;CA;;3
3;47.50000000;43.18181818;2017-01-03;"4 - Soir";"2 - Mardi";À emporter;CA;;1
5;87.10000000;79.18181820;2017-01-03;"4 - Soir";"2 - Mardi";Livraison;CA;AlloResto;1
11;168.00000000;152.72727272;2017-01-03;"4 - Soir";"2 - Mardi";Livraison;CA;Deliveroo;1
11;165.00000000;149.99999998;2017-01-03;"4 - Soir";"2 - Mardi";Livraison;CA;Foodora;1
22;335.00000000;304.54545454;2017-01-03;"4 - Soir";"2 - Mardi";Livraison;CA;KM LIVRAISON;1
5;75.50000000;68.63636361;2017-01-03;"4 - Soir";"2 - Mardi";Livraison;CA;UberEats;1
22;378.40000000;338.46212122;2017-01-03;"4 - Soir";"2 - Mardi";Sur place;CA;;20
0;0;0;2017-01-04;"";"3 - Mercredi";"";CA;"";0
1;8.50000000;7.72727273;2017-01-04;"1 - Matin";"3 - Mercredi";Sur place;CA;;1
4;48.20000000;43.81818184;2017-01-04;"2 - Midi";"3 - Mercredi";À emporter;CA;;4
4;59.00000000;53.63636363;2017-01-04;"2 - Midi";"3 - Mercredi";Livraison;CA;AlloResto;1
3;47.00000000;42.72727272;2017-01-04;"2 - Midi";"3 - Mercredi";Livraison;CA;Deliveroo;1
4;62.30000000;56.63636363;2017-01-04;"2 - Midi";"3 - Mercredi";Livraison;CA;Foodora;1
10;150.50000000;136.81818181;2017-01-04;"2 - Midi";"3 - Mercredi";Livraison;CA;KM LIVRAISON;1
2;33.50000000;30.45454545;2017-01-04;"2 - Midi";"3 - Mercredi";Livraison;CA;UberEats;1
